category,year,n,mean_compound,ci_lo,ci_hi
Beauty,2015,10378,0.5799036808633649,0.5710042883985353,0.5886912225380613
Beauty,2016,10335,0.5814400193517175,0.5722074811320754,0.5902569622641509
Beauty,2017,10307,0.5479111768700883,0.5384997465314835,0.5572214242747646
Beauty,2018,10424,0.5496383346124328,0.5401367171910973,0.5592993361473523
Beauty,2019,10417,0.588411663626764,0.5792987527599117,0.5976404816645868
Beauty,2020,10418,0.5721923497792283,0.5623809730754463,0.5817929072278748
Beauty,2021,10455,0.5305721568627452,0.5200499825442372,0.5407874648493542
Beauty,2022,10478,0.5345096010689062,0.5245250765890437,0.5444613542660812
Beauty,2023,10370,0.541898987463838,0.5317726188524591,0.5515943346190935
Sports,2015,10253,0.5560521603433143,0.5470848003023506,0.5649167387593875
Sports,2016,10276,0.5698724309069678,0.5607665312378357,0.579122696087972
Sports,2017,10275,0.5691122141119223,0.5601934866180048,0.5779654218978103
Sports,2018,10376,0.5680458172706245,0.5588481854760987,0.5769920506457208
Sports,2019,10457,0.5931073921774888,0.5841317244429569,0.6019647793344172
Sports,2020,10604,0.5741508110147114,0.5645901956808752,0.5834664864673708
Sports,2021,10590,0.5361532105760151,0.5259079806421152,0.5459390899433427
Sports,2022,10658,0.5234083880653031,0.5134728124413587,0.5334773322856071
Sports,2023,10553,0.5487204302094192,0.5387604546100635,0.5584497164313466
